INPUT_TABLE
Variable ID
GrdRenewRsrcMaxNoFO

region,renewresource,sub.renewable.resource,year.fillout,maxSubResource
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,1975,213.4
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,1990,213.4
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2005,213.4
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2010,213.4
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2015,213.4
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2020,213.4
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2025,213.4
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2030,213.4
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2035,213.4
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2040,213.4
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2045,213.4
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2050,213.4
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2055,213.4
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2060,213.4
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2065,213.4
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2070,213.4
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2075,213.4
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2080,213.4
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2085,213.4
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2090,213.4
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2095,213.4
Africa_Eastern,Africa-East Central Coast-water withdrawals,runoff,2100,213.4
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,1975,40.9
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,1990,40.9
Africa_Eastern,Africa-North Interior-water withdrawals,runoff,2005,40.9
